NAME,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,LSAD,ALAND,AWATER,White_20,Black_20,AIAA_20,API_20,total_nvb,totalProjectAmount,Number_MobileHomes,POP,Income_Per_Cap,Minority_Population_PerCap,FEMAAmountperpop,geometry
Pamlico County,"37","137","1023355",0500000US37137,"37137","6","871535581","583071738","9216","2061","58","313","41807374","12502608.56","1907","12276","29092","19.81101335940046","1018.459478657543","list(list(c(-76.987266, -76.895919, -76.845505, -76.632561, -76.590497, -76.522131, -76.454738, -76.304136, -76.71158, -76.780586, -76.953285, -76.940819, -76.987266, 35.15495, 35.253889, 35.216059, 35.235324, 35.361857, 35.353623, 35.334376, 35.201453, 34.981768, 34.950434, 35.021248, 35.119103, 35.15495)))"
Pasquotank County,"37","139","1026330",0500000US37139,"37139","6","587616451","161745166","22019","14478","213","1529","1555000","979758","2342","40568","24664","39.98225202129758","24.15100571879314","list(list(c(-76.491336, -76.437286, -76.231329, -76.216211, -76.12458, -76.02939, -76.022607, -76.058217, -76.157953, -76.177396, -76.290671, -76.37488, -76.453711, -76.491405, -76.491336, 36.510677, 36.467846, 36.37208, 36.298302, 36.263963, 36.158819, 36.096725, 36.080593, 36.059517, 36.109191, 36.223497, 36.258654, 36.378092, 36.468648, 36.510677)))"
Pender County,"37","141","1026129",0500000US37141,"37141","6","2256645188","162833566","45305","7619","354","3207","43121259","28794349.62","6659","60203","29266","18.5705031310732","478.2876205504709","list(list(c(-78.256085, -78.176501, -78.255468, -78.254441, -78.113995, -78.114007, -77.980738, -77.680127, -77.576165, -77.5152165445848, -77.635034, -77.7135131704588, -77.822679, -78.029922, -78.137302, -78.16235, -78.202532, -78.256085, 34.399469, 34.465356, 34.508614, 34.553595, 34.706876, 34.721795, 34.713979, 34.720595, 34.476607, 34.4373849694266, 34.359555, 34.2902471866868, 34.389026, 34.331768, 34.371711, 34.357007, 34.353306, 34.399469)))"
Perquimans County,"37","143","1025841",0500000US37143,"37143","6","640099675","211829497","9412","2715","39","185","0","10000","1451","13005","27569","22.59900038446751","0.7689350249903884","list(list(c(-76.590107, -76.559646, -76.453711, -76.37488, -76.290671, -76.177396, -76.157953, -76.186705, -76.358393, -76.396794, -76.402957, -76.572077, -76.590107, 36.238862, 36.351056, 36.378092, 36.258654, 36.223497, 36.109191, 36.059517, 36.047725, 36.020019, 36.026443, 36.072867, 36.109463, 36.238862)))"
Tyrrell County,"37","177","1026332",0500000US37177,"37177","6","1012103919","534574452","1903","938","5","197","525000","525809","680","3245","19743","35.13097072419107","162.0366718027735","list(list(c(-76.405603, -76.353554, -76.380009, -76.358393, -76.186705, -76.157953, -76.058217, -76.022607, -76.022398, -75.906295, -75.874806, -75.840046, -75.973152, -76.008348, -76.027479, -76.144653, -76.213895, -76.285839, -76.269247, -76.405971, -76.405603, 35.786294, 35.861301, 35.914666, 36.020019, 36.047725, 36.059517, 36.080593, 36.096725, 36.086654, 36.085877, 36.041789, 36.028834, 35.976643, 35.895802, 35.668849, 35.702488, 35.598238, 35.604464, 35.690754, 35.697579, 35.786294)))"
Washington County,"37","187","1026331",0500000US37187,"37187","6","897456203","195282200","4999","5375","23","269","1151000","219262.07","1456","11003","23431","51.50413523584477","19.92748068708534","list(list(c(-76.847264, -76.777404, -76.760598, -76.683751, -76.606214, -76.511899, -76.396794, -76.358393, -76.380009, -76.353554, -76.405603, -76.405971, -76.637513, -76.844279, -76.847264, 35.719982, 35.857839, 35.864887, 35.953101, 35.978051, 35.980726, 36.026443, 36.020019, 35.914666, 35.861301, 35.786294, 35.697579, 35.705215, 35.705717, 35.719982)))"
Beaufort County,"37","013","01026333",0500000US37013,"37013","06","2154800548","338964099","29817","10303","168","2534","105874454","31032321.38","7038","44652","27504","29.1252351518409","694.9816666666667",
Bertie County,"37","015","01026334",0500000US37015,"37015","06","1810858588","109088136","6339","10720","63","276","18660000","10290512.86","3482","17934","22947","61.66499386639902","573.7990888814542",
Brunswick County,"37","019","01026340",0500000US37019,"37019","06","2199384967","518918112","112307","11546","895","4556","7994419","3827615","19667","136693","33312","12.4344333652784","28.00154360501269",
Camden County,"37","029","01026335",0500000US37029,"37029","06","622448682","181112905","8312","1055","49","243","1730000","1240053","647","10355","28221","13.0082085948817","119.7540318686625",
