STATE,COUNTY,ALX5E001
Georgia,Rockdale County,28320
Georgia,Schley County,20965
Georgia,Screven County,22213
Georgia,Seminole County,29614
Georgia,Spalding County,24582
Georgia,Stephens County,23546
Georgia,Stewart County,16705
Georgia,Sumter County,20654
Georgia,Talbot County,21357
Georgia,Taliaferro County,21416
Georgia,Tattnall County,18319
Georgia,Taylor County,21298
Georgia,Telfair County,17202
Georgia,Terrell County,20045
Georgia,Thomas County,27454
Georgia,Tift County,22974
Georgia,Toombs County,24399
Georgia,Towns County,25972
Georgia,Treutlen County,21830
Georgia,Troup County,23124
Georgia,Turner County,19527
Georgia,Twiggs County,20979
Georgia,Union County,28953
Georgia,Upson County,21747
Georgia,Walker County,24247
Georgia,Walton County,27889
Georgia,Ware County,20411
Georgia,Warren County,23448
Georgia,Washington County,20303
Georgia,Wayne County,21090
Georgia,Webster County,24102
Georgia,Wheeler County,14654
Georgia,White County,27406
Georgia,Whitfield County,23974
Georgia,Wilcox County,16183
Georgia,Wilkes County,24674
Georgia,Wilkinson County,22141
Georgia,Worth County,24415
Hawaii,Hawaii County,30542
Hawaii,Honolulu County,36816
Hawaii,Kalawao County,49118
Hawaii,Kauai County,33143
Hawaii,Maui County,35241
Idaho,Ada County,34919
Idaho,Adams County,28026
Idaho,Bannock County,25076
Idaho,Bear Lake County,26378
Idaho,Benewah County,23255
Idaho,Bingham County,23059
Idaho,Blaine County,33645
Idaho,Boise County,31975
Idaho,Bonner County,27918
Idaho,Bonneville County,28671
Idaho,Boundary County,25782
Idaho,Butte County,30294
Idaho,Camas County,30209
Idaho,Canyon County,22232
Idaho,Caribou County,26221
Idaho,Cassia County,21687
Idaho,Clark County,18860
Idaho,Clearwater County,23412
Idaho,Custer County,23805
Idaho,Elmore County,23028
Idaho,Franklin County,24185
Idaho,Fremont County,23577
Idaho,Gem County,22661
Idaho,Gooding County,23607
Idaho,Idaho County,22672
Idaho,Jefferson County,24677
Idaho,Jerome County,21461
Idaho,Kootenai County,29948
Idaho,Latah County,27011
Idaho,Lemhi County,25075
Idaho,Lewis County,24094
Idaho,Lincoln County,21656
Idaho,Madison County,16585
Idaho,Minidoka County,24262
Idaho,Nez Perce County,29544
Idaho,Oneida County,22120
Idaho,Owyhee County,22806
Idaho,Payette County,25768
Idaho,Power County,23343
Idaho,Shoshone County,23987
Idaho,Teton County,31191
Idaho,Twin Falls County,25352
Idaho,Valley County,33709
Idaho,Washington County,22650
Illinois,Adams County,30343
Illinois,Alexander County,19519
Illinois,Bond County,28119
Illinois,Boone County,31943
Illinois,Brown County,23070
Illinois,Bureau County,30255
Illinois,Calhoun County,28822
Illinois,Carroll County,29166
Illinois,Cass County,26992
Illinois,Champaign County,30578
Illinois,Christian County,27361
Illinois,Clark County,30796
Illinois,Clay County,26815
Illinois,Clinton County,31783
Illinois,Coles County,28084
Illinois,Cook County,37552
Illinois,Crawford County,26546
Illinois,Cumberland County,27812
Illinois,DeKalb County,29430
Illinois,De Witt County,30729
Illinois,Douglas County,28139
Illinois,DuPage County,46272
Illinois,Edgar County,27797
Illinois,Edwards County,28255
Illinois,Effingham County,31665
Illinois,Fayette County,23194
Illinois,Ford County,28957
Illinois,Franklin County,24098
Illinois,Fulton County,27741
Illinois,Gallatin County,33377
Illinois,Greene County,25414
Illinois,Grundy County,35208
Illinois,Hamilton County,27702
Illinois,Hancock County,28576
Illinois,Hardin County,28932
Illinois,Henderson County,28950
Illinois,Henry County,30345
Illinois,Iroquois County,27574
Illinois,Jackson County,24804
Illinois,Jasper County,25849
Illinois,Jefferson County,26466
Illinois,Jersey County,30182
Illinois,Jo Daviess County,34437
Illinois,Johnson County,23140
Illinois,Kane County,36270
Illinois,Kankakee County,27984
Illinois,Kendall County,36382
Illinois,Knox County,24545
Illinois,Lake County,45766
Illinois,LaSalle County,30277
Illinois,Lawrence County,23613
Illinois,Lee County,29984
Illinois,Livingston County,27925
Illinois,Logan County,27546
Illinois,McDonough County,24094
Illinois,McHenry County,39006
Illinois,McLean County,34532
Illinois,Macon County,29644
Illinois,Macoupin County,28809
Illinois,Madison County,32427
Illinois,Marion County,25563
Illinois,Marshall County,30808
Illinois,Mason County,28534
Illinois,Massac County,23539
Illinois,Menard County,37098
Illinois,Mercer County,29268
Illinois,Monroe County,42152
Illinois,Montgomery County,26609
Illinois,Morgan County,26755
Illinois,Moultrie County,29538
Illinois,Ogle County,31397
Illinois,Peoria County,32041
Illinois,Perry County,26035
Illinois,Piatt County,33468
Illinois,Pike County,26157
Illinois,Pope County,22065
Illinois,Pulaski County,21605
Illinois,Putnam County,34438
Illinois,Randolph County,26558
Illinois,Richland County,26358
Illinois,Rock Island County,29756
Illinois,St. Clair County,30807
Illinois,Saline County,25342
Illinois,Sangamon County,35509
Illinois,Schuyler County,24831
Illinois,Scott County,27052
Illinois,Shelby County,27029
Illinois,Stark County,30018
Illinois,Stephenson County,27911
Illinois,Tazewell County,33507
Illinois,Union County,25879
Illinois,Vermilion County,25307
Illinois,Wabash County,27781
Illinois,Warren County,25730
Illinois,Washington County,32838
Illinois,Wayne County,26313
Illinois,White County,26746
Illinois,Whiteside County,29856
Illinois,Will County,36524
Illinois,Williamson County,28375
Illinois,Winnebago County,29278
Illinois,Woodford County,37170
Indiana,Adams County,23316
Indiana,Allen County,29160
Indiana,Bartholomew County,31774
Indiana,Benton County,25187
Indiana,Blackford County,24302
Indiana,Boone County,48295
Indiana,Brown County,34372
Indiana,Carroll County,29366
Indiana,Cass County,24948
Indiana,Clark County,29062
Indiana,Clay County,26257
Indiana,Clinton County,24489
Indiana,Crawford County,22443
Indiana,Daviess County,23848
Indiana,Dearborn County,30800
Indiana,Decatur County,27006
Indiana,DeKalb County,29073
Indiana,Delaware County,25107
Indiana,Dubois County,30366
Indiana,Elkhart County,26150
Indiana,Fayette County,24015
Indiana,Floyd County,33478
Indiana,Fountain County,28058
Indiana,Franklin County,29166
Indiana,Fulton County,26427
Indiana,Gibson County,28076
Indiana,Grant County,23046
Indiana,Greene County,25453
Indiana,Hamilton County,49287
Indiana,Hancock County,34119
Indiana,Harrison County,28119
Indiana,Hendricks County,36569
Indiana,Henry County,24687
Indiana,Howard County,28129
Indiana,Huntington County,26502
Indiana,Jackson County,25840
Indiana,Jasper County,28240
Indiana,Jay County,23443
Indiana,Jefferson County,27152
Indiana,Jennings County,26017
Indiana,Johnson County,34408
Indiana,Knox County,26041
Indiana,Kosciusko County,29786
Indiana,LaGrange County,24549
Indiana,Lake County,28923
Indiana,LaPorte County,27264
Indiana,Lawrence County,26603
Indiana,Madison County,25557
Indiana,Marion County,28566
Indiana,Marshall County,25761
Indiana,Martin County,26758
Indiana,Miami County,24028
Indiana,Monroe County,28514
Indiana,Montgomery County,27162
Indiana,Morgan County,30721
Indiana,Newton County,26007
Indiana,Noble County,26832
Indiana,Ohio County,30517
Indiana,Orange County,24080
Indiana,Owen County,25209
Indiana,Parke County,23574
Indiana,Perry County,25707
Indiana,Pike County,25624
Indiana,Porter County,34595
Indiana,Posey County,32091
Indiana,Pulaski County,24992
Indiana,Putnam County,26120
Indiana,Randolph County,24964
Indiana,Ripley County,28312
Indiana,Rush County,26301
Indiana,St. Joseph County,28215
Indiana,Scott County,23646
Indiana,Shelby County,29583
Indiana,Spencer County,31287
Indiana,Starke County,24673
Indiana,Steuben County,29949
Indiana,Sullivan County,24356
Indiana,Switzerland County,24944
Indiana,Tippecanoe County,27451
Indiana,Tipton County,31025
Indiana,Union County,25661
Indiana,Vanderburgh County,29638
Indiana,Vermillion County,26493
Indiana,Vigo County,25113
Indiana,Wabash County,27149
Indiana,Warren County,31104
Indiana,Warrick County,37466
Indiana,Washington County,25015
Indiana,Wayne County,26510
Indiana,Wells County,28663
Indiana,White County,27461
Indiana,Whitley County,31843
Iowa,Adair County,30822
Iowa,Adams County,28440
Iowa,Allamakee County,27892
Iowa,Appanoose County,26012
Iowa,Audubon County,30344
Iowa,Benton County,33301
Iowa,Black Hawk County,30563
Iowa,Boone County,32889
Iowa,Bremer County,32814
Iowa,Buchanan County,33373
Iowa,Buena Vista County,26526
Iowa,Butler County,30036
Iowa,Calhoun County,28434
Iowa,Carroll County,31648
Iowa,Cass County,28302
Iowa,Cedar County,32268
Iowa,Cerro Gordo County,32757
Iowa,Cherokee County,32999
Iowa,Chickasaw County,31095
Iowa,Clarke County,27416
Iowa,Clay County,28747
Iowa,Clayton County,28294
Iowa,Clinton County,28483
Iowa,Crawford County,29196
Iowa,Dallas County,45090
Iowa,Davis County,29387
Iowa,Decatur County,22875
Iowa,Delaware County,32112
Iowa,Des Moines County,29941
Iowa,Dickinson County,39052
Iowa,Dubuque County,32905
Iowa,Emmet County,28651
Iowa,Fayette County,28643
Iowa,Floyd County,29622
Iowa,Franklin County,29546
Iowa,Fremont County,29261
Iowa,Greene County,28451
Iowa,Grundy County,36231
Iowa,Guthrie County,31128
Iowa,Hamilton County,30127
Iowa,Hancock County,30309
Iowa,Hardin County,28770
Iowa,Harrison County,32443
Iowa,Henry County,26408
Iowa,Howard County,29032
Iowa,Humboldt County,30480
Iowa,Ida County,33789
Iowa,Iowa County,33755
Iowa,Jackson County,29660
Iowa,Jasper County,28604
Iowa,Jefferson County,28611
Iowa,Johnson County,35108
Iowa,Jones County,29453
Iowa,Keokuk County,29957
Iowa,Kossuth County,31225
Iowa,Lee County,26710
Iowa,Linn County,34545
Iowa,Louisa County,29021
Iowa,Lucas County,31069
Iowa,Lyon County,29124
Iowa,Madison County,35470
Iowa,Mahaska County,28174
Iowa,Marion County,30644
Iowa,Marshall County,27196
Iowa,Mills County,34850
Iowa,Mitchell County,29676
Iowa,Monona County,29591
Iowa,Monroe County,28999
Iowa,Montgomery County,29781
Iowa,Muscatine County,29511
Iowa,O'Brien County,30564
Iowa,Osceola County,30955
Iowa,Page County,27390
Iowa,Palo Alto County,28445
Iowa,Plymouth County,33982
Iowa,Pocahontas County,30013
Iowa,Polk County,35433
Iowa,Pottawattamie County,30318
Iowa,Poweshiek County,31827
Iowa,Ringgold County,28756
Iowa,Sac County,32274
Iowa,Scott County,33643
Iowa,Shelby County,32703
Iowa,Sioux County,29360
Iowa,Story County,29539
Iowa,Tama County,28585
Iowa,Taylor County,29778
Iowa,Union County,27750
Iowa,Van Buren County,27252
Iowa,Wapello County,26424
Iowa,Warren County,36496
Iowa,Washington County,30547
Iowa,Wayne County,25628
Iowa,Webster County,26498
Iowa,Winnebago County,28342
Iowa,Winneshiek County,32075
Iowa,Woodbury County,28688
Iowa,Worth County,31949
Iowa,Wright County,29622
Kansas,Allen County,23734
Kansas,Anderson County,24309
Kansas,Atchison County,24237
Kansas,Barber County,27648
Kansas,Barton County,27495
Kansas,Bourbon County,23102
Kansas,Brown County,25208
Kansas,Butler County,29986
Kansas,Chase County,23055
Kansas,Chautauqua County,22962
Kansas,Cherokee County,22615
Kansas,Cheyenne County,29041
Kansas,Clark County,28227
Kansas,Clay County,29235
Kansas,Cloud County,27279
Kansas,Coffey County,33371
Kansas,Comanche County,30355
Kansas,Cowley County,24726
Kansas,Crawford County,23091
Kansas,Decatur County,30905
Kansas,Dickinson County,27219
Kansas,Doniphan County,25775
Kansas,Douglas County,32281
Kansas,Edwards County,27431
Kansas,Elk County,23875
Kansas,Ellis County,30956
Kansas,Ellsworth County,26443
Kansas,Finney County,24152
Kansas,Ford County,23293
Kansas,Franklin County,26998
Kansas,Geary County,23897
Kansas,Gove County,28859
Kansas,Graham County,27236
Kansas,Grant County,25411
Kansas,Gray County,29421
Kansas,Greeley County,28982
Kansas,Greenwood County,27500
Kansas,Hamilton County,22003
Kansas,Harper County,24800
Kansas,Harvey County,28226
Kansas,Haskell County,26814
Kansas,Hodgeman County,30044
Kansas,Jackson County,28127
Kansas,Jefferson County,30655
Kansas,Jewell County,27731
Kansas,Johnson County,46517
Kansas,Kearny County,23415
Kansas,Kingman County,34578
Kansas,Kiowa County,26321
Kansas,Labette County,24572
Kansas,Lane County,28435
Kansas,Leavenworth County,32444
Kansas,Lincoln County,25803
Kansas,Linn County,27926
Kansas,Logan County,28135
Kansas,Lyon County,26904
Kansas,McPherson County,31006
Kansas,Marion County,26577
Kansas,Marshall County,28469
Kansas,Meade County,28945
Kansas,Miami County,35659
Kansas,Mitchell County,25801
Kansas,Montgomery County,24647
Kansas,Morris County,29558
Kansas,Morton County,23447
Kansas,Nemaha County,30344
Kansas,Neosho County,23845
Kansas,Ness County,34243
Kansas,Norton County,25352
Kansas,Osage County,27951
Kansas,Osborne County,30843
Kansas,Ottawa County,29230
Kansas,Pawnee County,25131
Kansas,Phillips County,27431
Kansas,Pottawatomie County,29345
Kansas,Pratt County,27442
Kansas,Rawlins County,28590
Kansas,Reno County,27073
Kansas,Republic County,27424
Kansas,Rice County,26737
Kansas,Riley County,27272
Kansas,Rooks County,26420
Kansas,Rush County,26552
Kansas,Russell County,26090
Kansas,Saline County,28813
Kansas,Scott County,29315
Kansas,Sedgwick County,29530
Kansas,Seward County,20754
Kansas,Shawnee County,30974
Kansas,Sheridan County,35465
Kansas,Sherman County,27919
Kansas,Smith County,28994
Kansas,Stafford County,28060
Kansas,Stanton County,23033
Kansas,Stevens County,24652
Kansas,Sumner County,26954
Kansas,Thomas County,30442
Kansas,Trego County,34230
Kansas,Wabaunsee County,27876
Kansas,Wallace County,27966
Kansas,Washington County,27841
Kansas,Wichita County,29126
Kansas,Wilson County,27471
Kansas,Woodson County,22672
Kansas,Wyandotte County,22335
Kentucky,Adair County,21196
